Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Meta Cumulativa";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;11;"5111";"1281";"0448";10576;"06P4";"Não";3.324.429,00;2.510.885,00;2.516.863,00;2.642.706,00;
2025;11;"5111";"1281";"0449";10585;"06PR";"Não";5.030.426,00;5.108.759,00;5.190.299,00;5.273.295,00;
2025;11;"5111";"1281";"0450";10591;"06Q7";"Não";285.615,00;292.039,00;298.462,00;304.886,00;
2025;11;"5111";"1281";"0452";10598;"06PV";"Não";300.000,00;273.000,00;275.500,00;277.000,00;
2025;11;"5111";"1281";"0454";10606;"06IQ";"Não";70,00;80,00;97,00;100,00;
2025;11;"5111";"1281";"0457";10627;"06H5";"Não";94,05;95,00;95,05;96,00;
2025;11;"5111";"1281";"0458";10641;"06JD";"Não";31,00;36,00;40,00;45,00;
2025;11;"5111";"1281";"0460";10662;"06EJ";"Não";322.938,00;269.820,00;279.820,00;282.820,00;
2025;11;"5111";"1281";"0461";10675;"06EN";"Não";56.962,00;79.396,00;109.834,00;118.514,00;
2025;11;"5111";"1281";"0462";10683;"06JA";"Não";77,40;80,80;84,20;87,10;
2025;11;"5111";"1281";"0463";10705;"06FG";"Não";84,10;85,60;87,10;88,60;
2025;11;"5111";"1281";"0465";10713;"06FO";"Sim";20,00;70,00;100,00;100,00;
2025;11;"5111";"1281";"0466";10721;"06AA";"Não";100,00;100,00;100,00;100,00;
2025;11;"5128";"1321";"0257";9432;"057A";"Sim";70,00;75,00;80,00;83,00;
2025;11;"5136";"1327";"0345";9769;"05E9";"Não";16.250,00;8.125,00;8.125,00;8.125,00;
2025;11;"5804";"1304";"0167";9224;"065G";"Não";1,60;3,00;3,00;3,00;
2025;11;"5838";"1340";"0519";11306;"06UU";"Sim";15,00;45,00;70,00;95,00;
2025;12;"2306";"1308";"0181";9851;"068M";"Não";21.174.000,00;21.174.000,00;21.174.000,00;21.174.000,00;
2025;12;"5113";"1329";"0354";9698;"06AT";"Não";7.858,00;8.358,00;8.858,00;9.358,00;
2025;12;"5119";"1283";"0069";8871;"05KA";"Sim";70,00;75,00;78,00;80,00;
2025;12;"5119";"1283";"0070";9031;"05HD";"Sim";53,09;78,00;88,00;99,00;
2025;12;"5119";"1283";"0150";9043;"05HH";"Sim";60,00;50,00;55,00;60,00;
2025;12;"5119";"1283";"0378";9866;"05I4";"Sim";7.616,00;24.668,00;33.874,00;35.525,00;
2025;12;"5128";"1321";"0261";9459;"0588";"Sim";79,00;80,00;81,00;82,00;
2025;12;"5803";"1298";"0206";9283;"06DZ";"Não";41,00;41,00;41,00;40,00;
2025;12;"5804";"1304";"0532";11466;"06CL";"Não";10,00;10,00;10,00;10,00;
2025;13;"1144";"1255";"0007";8776;"06A4";"Não";89.723,00;107.668,00;125.612,00;143.557,00;
